Date,BBVA_Close,BBVA_High,BBVA_Low,BBVA_Volume,BBVA_MA_5,BBVA_MA_10,BBVA_MA_30,BBVA_MA_60,IBEX_Close,IBEX_Return_1d,IBEX_MA_5,deposit_rate,marginal_rate,refinancing_rate,event
2000-03-24,14.737812042236328,14.824278831481934,14.593701362609863,3848057,14.764713478088378,14.584093379974366,14.673762957255045,13.667383623123168,12213.787109375,0.0116372615615925,12225.9873046875,2.5,4.5,3.5,1
2000-03-27,14.785849571228027,14.85310173034668,14.50723361968994,4186207,14.793535804748535,14.619640922546386,14.665436522165935,13.686758629480998,12161.9873046875,-0.0042410928095955,12185.9072265625,2.5,4.5,3.5,1
2000-03-28,14.805065155029297,14.920353889465332,14.728204727172852,10406762,14.793535804748535,14.680167865753173,14.670560487111409,13.712378485997517,12211.0869140625,0.0040371370356615,12166.4671875,2.5,4.5,3.5,1
2000-03-29,14.55527114868164,14.85310173034668,14.391944885253906,9968320,14.730126571655273,14.739733982086182,14.665436522165935,13.73879893620809,12088.5869140625,-0.0100318670125038,12149.7470703125,2.5,4.5,3.5,1
2000-03-30,14.401552200317385,14.55527114868164,14.3054780960083,9376775,14.657110023498536,14.712833213806153,14.655188592274984,13.762657403945923,11833.388671875,-0.0211106760452399,12101.7673828125,2.5,4.5,3.5,1
2000-03-31,14.75702667236328,14.75702667236328,14.276655197143556,18359604,14.660952949523926,14.712833213806153,14.656149323781332,13.789718341827392,11934.98828125,0.008585842330733,12046.0076171875,2.5,4.5,3.5,1
2000-04-03,14.795456886291504,14.814672470092772,14.526449203491213,19424675,14.66287441253662,14.728205108642578,14.661273288726807,13.820942529042561,11686.388671875,-0.0208294808102621,11950.887890625,2.5,4.5,3.5,1
2000-04-04,15.160539627075195,15.189361572265623,14.74742031097412,14535557,14.7339693069458,14.763752555847168,14.685291862487793,13.862574768066406,11584.1884765625,-0.0087452332950777,11825.508203125,2.5,4.5,3.5,1
2000-04-05,15.035642623901367,15.218184471130373,14.622523307800291,11364317,14.830043601989747,14.78008508682251,14.692017046610514,13.9045272509257,11374.587890625,-0.0180936788417739,11682.7083984375,2.5,4.5,3.5,1
2000-04-06,15.131717681884766,15.2950439453125,14.824278831481934,10826369,14.976076698303222,14.816593360900878,14.694579029083252,13.95320494969686,11607.888671875,0.0205107018815413,11637.6083984375,2.5,4.5,3.5,1
2000-04-07,15.256613731384276,15.362296104431152,15.006820678710938,10040715,15.075994110107422,14.868473529815674,14.700343481699626,13.999961137771606,11790.587890625,0.0157392290634785,11608.7283203125,2.5,4.5,3.5,1
2000-04-10,15.275829315185549,15.333474159240724,15.09328842163086,10332321,15.17206859588623,14.917471504211425,14.71795711517334,14.048959096272787,11768.6884765625,-0.00185736404882,11625.18828125,2.5,4.5,3.5,1
2000-04-11,15.179755210876465,15.333474159240724,15.016427993774414,7834289,15.175911712646485,14.954940509796142,14.740374501546224,14.100679143269856,11515.2880859375,-0.0215317442661219,11611.408203125,2.5,4.5,3.5,1
